Temperature_K,Pressure_atm,Equivalence_Ratio,Ignition_Delay_s
1.1,0.8,0.8,0.00014310319062877205
1.1,0.8,0.9,0.00013978611172925856
1.1,0.8,1.0,0.000137788579228974
1.1,0.8,1.1,0.00013698834349661597
1.1,0.8,1.2,0.00013476275699751225
1.1,0.9,0.8,0.00012513533926447303
1.1,0.9,0.9,0.00012394856872439836
1.1,0.9,1.0,0.00012178885811752252
1.1,0.9,1.1,0.00011919401620986574
1.1,0.9,1.2,0.00011944442704878417
1.1,1.0,0.8,0.0001114993381216519
1.1,1.0,0.9,0.00011033916358468332
1.1,1.0,1.0,0.00010923366901471456
1.1,1.0,1.1,0.00010801139985375385
1.1,1.0,1.2,0.00010675309732273224
1.1,1.1,0.8,0.00010048193695485404
1.1,1.1,0.9,0.00010098777008253584
1.1,1.1,1.0,9.793656519872083e-05
1.1,1.1,1.1,9.853845965257747e-05
1.1,1.1,1.2,9.734690911976105e-05
1.1,1.2,0.8,9.176137843652398e-05
1.1,1.2,0.9,9.224061532001706e-05
1.1,1.2,1.0,9.134359483422658e-05
1.1,1.2,1.1,9.008390010430961e-05
1.1,1.2,1.2,8.907096146035713e-05
1.125,0.8,0.8,0.00012696881159189485
1.125,0.8,0.9,0.000125051061481228
1.125,0.8,1.0,0.00012264971961970677
1.125,0.8,1.1,0.00012030737810951462
1.125,0.8,1.2,0.00011713219764213687
1.125,0.9,0.8,0.00011164412441802291
1.125,0.9,0.9,0.00010926253509624189
1.125,0.9,1.0,0.00010695567937883186
1.125,0.9,1.1,0.00010527198847195028
1.125,0.9,1.2,0.00010208275458117554
1.125,1.0,0.8,9.774358222898816e-05
1.125,1.0,0.9,9.613095552401025e-05
1.125,1.0,1.0,9.344999157001995e-05
1.125,1.0,1.1,9.321237025003571e-05
1.125,1.0,1.2,9.137928613083068e-05
1.125,1.1,0.8,8.756943804917955e-05
1.125,1.1,0.9,8.62362913566743e-05
1.125,1.1,1.0,8.541235761197661e-05
1.125,1.1,1.1,8.3326964167439e-05
1.125,1.1,1.2,8.380608293368117e-05
1.125,1.2,0.8,7.94383855524031e-05
1.125,1.2,0.9,7.944795796828155e-05
1.125,1.2,1.0,7.855353718079955e-05
1.125,1.2,1.1,7.606533437701879e-05
1.125,1.2,1.2,7.652132872797421e-05
1.15,0.8,0.8,0.00011578956169022742
1.15,0.8,0.9,0.00011394226319487417
1.15,0.8,1.0,0.00011044064646346653
1.15,0.8,1.1,0.00010599609209728086
1.15,0.8,1.2,0.00010485366961433957
1.15,0.9,0.8,0.000101211967856509
1.15,0.9,0.9,9.677000613981867e-05
1.15,0.9,1.0,9.402544498608662e-05
1.15,0.9,1.1,9.2518807511006e-05
1.15,0.9,1.2,9.028053065648696e-05
1.15,1.0,0.8,8.584566942453271e-05
1.15,1.0,0.9,8.714182971462213e-05
1.15,1.0,1.0,8.426808926837894e-05
1.15,1.0,1.1,8.302662304381228e-05
1.15,1.0,1.2,8.104239485381464e-05
1.15,1.1,0.8,7.711936776801257e-05
1.15,1.1,0.9,7.669051877415157e-05
1.15,1.1,1.0,7.487974228206443e-05
1.15,1.1,1.1,7.334174928601449e-05
1.15,1.1,1.2,7.290030980444446e-05
1.15,1.2,0.8,7.082588759605347e-05
1.15,1.2,0.9,7.044877850032649e-05
1.15,1.2,1.0,6.815507828432568e-05
1.15,1.2,1.1,6.664733971672226e-05
1.15,1.2,1.2,6.509744870624962e-05
1.175,0.8,0.8,0.0001061479767858077
1.175,0.8,0.9,0.0001014121846381404
1.175,0.8,1.0,0.00010134816409449867
1.175,0.8,1.1,9.652471681041968e-05
1.175,0.8,1.2,9.475221019470291e-05
1.175,0.9,0.8,9.061321244953905e-05
1.175,0.9,0.9,8.882526128251207e-05
1.175,0.9,1.0,8.77314993150935e-05
1.175,0.9,1.1,8.439278224890774e-05
1.175,0.9,1.2,8.181708740773477e-05
1.175,1.0,0.8,8.004488677923028e-05
1.175,1.0,0.9,7.836324615104162e-05
1.175,1.0,1.0,7.551702286901917e-05
1.175,1.0,1.1,7.321083584502683e-05
1.175,1.0,1.2,7.131863361762749e-05
1.175,1.1,0.8,6.957324051238058e-05
1.175,1.1,0.9,6.876380479700194e-05
1.175,1.1,1.0,6.738029298794205e-05
1.175,1.1,1.1,6.67857997464143e-05
1.175,1.1,1.2,6.39056358257635e-05
1.175,1.2,0.8,6.333035255304134e-05
1.175,1.2,0.9,6.181503768272356e-05
1.175,1.2,1.0,6.162679842839085e-05
1.175,1.2,1.1,6.014062113092309e-05
1.175,1.2,1.2,5.923660615093562e-05
1.2,0.8,0.8,9.695984921554517e-05
1.2,0.8,0.9,9.358321243006963e-05
1.2,0.8,1.0,9.329596548969639e-05
1.2,0.8,1.1,8.892928902198157e-05
1.2,0.8,1.2,8.483518268115373e-05
1.2,0.9,0.8,8.486007371457012e-05
1.2,0.9,0.9,8.249780104510948e-05
1.2,0.9,1.0,7.912230960543186e-05
1.2,0.9,1.1,7.655751088827432e-05
1.2,0.9,1.2,7.448640930431893e-05
1.2,1.0,0.8,7.179726173144533e-05
1.2,1.0,0.9,7.218612813839335e-05
1.2,1.0,1.0,6.937206954189217e-05
1.2,1.0,1.1,6.594131500374616e-05
1.2,1.0,1.2,6.417661584780684e-05
1.2,1.1,0.8,6.415084497228576e-05
1.2,1.1,0.9,6.228050606837441e-05
1.2,1.1,1.0,6.0528034945498515e-05
1.2,1.1,1.1,6.034492764189398e-05
1.2,1.1,1.2,5.894857850407032e-05
1.2,1.2,0.8,5.907509268629549e-05
1.2,1.2,0.9,5.677190462322777e-05
1.2,1.2,1.0,5.395954115987552e-05
1.2,1.2,1.1,5.3337692751501516e-05
1.2,1.2,1.2,5.145284859160049e-05
1.225,0.8,0.8,9.258263193783388e-05
1.225,0.8,0.9,8.812715147217593e-05
1.225,0.8,1.0,8.480198909577951e-05
1.225,0.8,1.1,8.171983321704615e-05
1.225,0.8,1.2,7.999631021992909e-05
1.225,0.9,0.8,8.003018969195009e-05
1.225,0.9,0.9,7.76211987068045e-05
1.225,0.9,1.0,7.272709447473074e-05
1.225,0.9,1.1,7.044765212940556e-05
1.225,0.9,1.2,6.8310541772766e-05
1.225,1.0,0.8,6.875205462802967e-05
1.225,1.0,0.9,6.759446986534726e-05
1.225,1.0,1.0,6.384162971888862e-05
