Temperature_K,Pressure_atm,Equivalence_Ratio,Ignition_Delay_s
1.1,0.8,0.8,9.84102012479024e-05
1.1,0.8,0.9,9.981293412598636e-05
1.1,0.8,1.0,9.777068166076738e-05
1.1,0.8,1.1,9.67048252435579e-05
1.1,0.8,1.2,9.62906891280034e-05
1.1,0.9,0.8,8.806020951957903e-05
1.1,0.9,0.9,8.741521616882972e-05
1.1,0.9,1.0,8.699663915919671e-05
1.1,0.9,1.1,8.505435064253965e-05
1.1,0.9,1.2,8.62331568722144e-05
1.1,1.0,0.8,7.864710202219436e-05
1.1,1.0,0.9,7.873255061172331e-05
1.1,1.0,1.0,7.824030460071559e-05
1.1,1.0,1.1,7.764374512302718e-05
1.1,1.0,1.2,7.718382504560097e-05
1.1,1.1,0.8,6.959763052229498e-05
1.1,1.1,0.9,7.084441791648586e-05
1.1,1.1,1.0,7.081386986016136e-05
1.1,1.1,1.1,6.963651587704701e-05
1.1,1.1,1.2,7.074473482438401e-05
1.1,1.2,0.8,6.424334245277855e-05
1.1,1.2,0.9,6.427898008348596e-05
1.1,1.2,1.0,6.493992076715521e-05
1.1,1.2,1.1,6.509835540141768e-05
1.1,1.2,1.2,6.533263952214016e-05
1.125,0.8,0.8,8.881188922389463e-05
1.125,0.8,0.9,9.049114505303249e-05
1.125,0.8,1.0,8.660686629419045e-05
1.125,0.8,1.1,8.521558210682382e-05
1.125,0.8,1.2,8.365037437929002e-05
1.125,0.9,0.8,7.669502713608416e-05
1.125,0.9,0.9,7.673834784956263e-05
1.125,0.9,1.0,7.533056841324883e-05
1.125,0.9,1.1,7.473143578862536e-05
1.125,0.9,1.2,7.442128073060693e-05
1.125,1.0,0.8,6.814621535996719e-05
1.125,1.0,0.9,6.779443802696924e-05
1.125,1.0,1.0,6.684792319887243e-05
1.125,1.0,1.1,6.71633282997471e-05
1.125,1.0,1.2,6.619147122776905e-05
1.125,1.1,0.8,6.101664527884347e-05
1.125,1.1,0.9,6.123441933835105e-05
1.125,1.1,1.0,6.030667431975928e-05
1.125,1.1,1.1,5.9778880853093505e-05
1.125,1.1,1.2,5.968201177275778e-05
1.125,1.2,0.8,5.632307808598042e-05
1.125,1.2,0.9,5.51495704150514e-05
1.125,1.2,1.0,5.5341243685495594e-05
1.125,1.2,1.1,5.465074806261281e-05
1.125,1.2,1.2,5.48955757937704e-05
1.15,0.8,0.8,8.049432234407978e-05
1.15,0.8,0.9,8.06092024249278e-05
1.15,0.8,1.0,7.672605366795735e-05
1.15,0.8,1.1,7.59775776448204e-05
1.15,0.8,1.2,7.440472713875912e-05
1.15,0.9,0.8,6.853785970200365e-05
1.15,0.9,0.9,6.924035891296563e-05
1.15,0.9,1.0,6.684251657729898e-05
1.15,0.9,1.1,6.668602761132233e-05
1.15,0.9,1.2,6.51888549093505e-05
1.15,1.0,0.8,6.16220782276219e-05
1.15,1.0,0.9,6.004819531306718e-05
1.15,1.0,1.0,5.922028723628669e-05
1.15,1.0,1.1,5.913214317343786e-05
1.15,1.0,1.2,5.716998416958487e-05
1.15,1.1,0.8,5.4608402220912565e-05
1.15,1.1,0.9,5.408600713549266e-05
1.15,1.1,1.0,5.282265940271361e-05
1.15,1.1,1.1,5.297145825175768e-05
1.15,1.1,1.2,5.189268753171538e-05
1.15,1.2,0.8,4.952939205393728e-05
1.15,1.2,0.9,4.856532053963729e-05
1.15,1.2,1.0,4.7835382586331267e-05
1.15,1.2,1.1,4.842102191767494e-05
1.15,1.2,1.2,4.769988844463201e-05
1.175,0.8,0.8,7.545889528406514e-05
1.175,0.8,0.9,7.265504024338598e-05
1.175,0.8,1.0,7.103349840543149e-05
1.175,0.8,1.1,6.875741141347434e-05
1.175,0.8,1.2,6.76190262881574e-05
1.175,0.9,0.8,6.385998124064981e-05
1.175,0.9,0.9,6.372613254226988e-05
1.175,0.9,1.0,6.261779005870383e-05
1.175,0.9,1.1,5.9703009672848305e-05
1.175,0.9,1.2,5.761318442322315e-05
1.175,1.0,0.8,5.522516067337578e-05
1.175,1.0,0.9,5.5357682250123345e-05
1.175,1.0,1.0,5.4625752221671196e-05
1.175,1.0,1.1,5.2140692771555764e-05
1.175,1.0,1.2,5.205582110196461e-05
1.175,1.1,0.8,4.8154460426027023e-05
1.175,1.1,0.9,4.907125871497944e-05
1.175,1.1,1.0,4.774639132524484e-05
1.175,1.1,1.1,4.6537486494396856e-05
1.175,1.1,1.2,4.58773428898725e-05
1.175,1.2,0.8,4.378190746208719e-05
1.175,1.2,0.9,4.331325928126737e-05
1.175,1.2,1.0,4.319643331072398e-05
1.175,1.2,1.1,4.2612390690755976e-05
1.175,1.2,1.2,4.1799224675230485e-05
1.2,0.8,0.8,6.997142160228506e-05
1.2,0.8,0.9,7.041237281998519e-05
1.2,0.8,1.0,6.474417767019597e-05
1.2,0.8,1.1,6.256900722178333e-05
1.2,0.8,1.2,6.150122971115162e-05
1.2,0.9,0.8,5.8667449662044984e-05
1.2,0.9,0.9,5.66599910431718e-05
1.2,0.9,1.0,5.575306107612018e-05
1.2,0.9,1.1,5.424505263667964e-05
1.2,0.9,1.2,5.3012849581650114e-05
1.2,1.0,0.8,5.2217428790564373e-05
1.2,1.0,0.9,5.113247322756275e-05
1.2,1.0,1.0,4.923074372630575e-05
1.2,1.0,1.1,4.693101309899387e-05
1.2,1.0,1.2,4.6670142459547074e-05
1.2,1.1,0.8,4.471015919152967e-05
1.2,1.1,0.9,4.5594491566381124e-05
1.2,1.1,1.0,4.3423134165606956e-05
1.2,1.1,1.1,4.251878238516963e-05
1.2,1.1,1.2,4.135172808544529e-05
1.2,1.2,0.8,3.9790566031431494e-05
1.2,1.2,0.9,3.9532939023795326e-05
1.2,1.2,1.0,3.9574906997242385e-05
1.2,1.2,1.1,3.805161564306695e-05
1.2,1.2,1.2,3.733881161783596e-05
1.225,0.8,0.8,6.519377289701055e-05
1.225,0.8,0.9,6.603136161919533e-05
1.225,0.8,1.0,6.238057841234292e-05
1.225,0.8,1.1,5.745155128174581e-05
1.225,0.8,1.2,5.6804464953361965e-05
1.225,0.9,0.8,5.501828897842442e-05
1.225,0.9,0.9,5.3397518615103957e-05
1.225,0.9,1.0,5.293259009651482e-05
1.225,0.9,1.1,4.992186571948373e-05
1.225,0.9,1.2,4.7619045301879184e-05
1.225,1.0,0.8,4.855349559647183e-05
1.225,1.0,0.9,4.6628011465367834e-05
1.225,1.0,1.0,4.465089638656557e-05
1.225,1.0,1.1,4.44996291523694e-05
1.225,1.0,1.2,4.197490208124197e-05
1.225,1.1,0.8,4.224769677443057e-05
1.225,1.1,0.9,4.1822500040661716e-05
1.225,1.1,1.0,4.017189939300438e-05
1.225,1.1,1.1,3.801632694198861e-05
1.225,1.1,1.2,3.7115098189477246e-05
1.225,1.2,0.8,3.7303926954194594e-05
1.225,1.2,0.9,3.6527207343617134e-05
1.225,1.2,1.0,3.58635552273698e-05
1.225,1.2,1.1,3.410848811192403e-05
1.225,1.2,1.2,3.400695352136969e-05
1.25,0.8,0.8,6.307612123897116e-05
1.25,0.8,0.9,6.172864024952565e-05
1.25,0.8,1.0,5.724925328575392e-05
1.25,0.8,1.1,5.5725701541286014e-05
1.25,0.8,1.2,5.1281793010564413e-05
1.25,0.9,0.8,5.239974279998598e-05
1.25,0.9,0.9,5.108908284989063e-05
1.25,0.9,1.0,4.917737946573108e-05
1.25,0.9,1.1,4.723120147604651e-05
1.25,0.9,1.2,4.5679838966788566e-05
1.25,1.0,0.8,4.605132429707247e-05
1.25,1.0,0.9,4.371408376036853e-05
1.25,1.0,1.0,4.276827356772749e-05
1.25,1.0,1.1,3.968840053955352e-05
1.25,1.0,1.2,3.855242702395693e-05
1.25,1.1,0.8,3.864681054901044e-05
1.25,1.1,0.9,3.9316590049602766e-05
1.25,1.1,1.0,3.722435923010588e-05
1.25,1.1,1.1,3.518553462064133e-05
1.25,1.1,1.2,3.443678287704416e-05
1.25,1.2,0.8,3.437921976767759e-05
1.25,1.2,0.9,3.357560303610101e-05
1.25,1.2,1.0,3.343013020088521e-05
1.25,1.2,1.1,3.1726852737442115e-05
1.25,1.2,1.2,3.097986092758002e-05
1.275,0.8,0.8,5.9930376303577976e-05
1.275,0.8,0.9,6.259163432849382e-05
1.275,0.8,1.0,5.702374402659762e-05
1.275,0.8,1.1,5.391452110366016e-05
1.275,0.8,1.2,4.946262273431783e-05
1.275,0.9,0.8,5.007827718123717e-05
1.275,0.9,0.9,4.934269755950403e-05
1.275,0.9,1.0,4.738807758841642e-05
1.275,0.9,1.1,4.414967471960772e-05
1.275,0.9,1.2,4.2833211889398234e-05
1.275,1.0,0.8,4.2109220216347415e-05
1.275,1.0,0.9,4.343606372959528e-05
1.275,1.0,1.0,3.96887221480393e-05
1.275,1.0,1.1,3.773694244373386e-05
1.275,1.0,1.2,3.7068198654740415e-05
1.275,1.1,0.8,3.7609481661814964e-05
1.275,1.1,0.9,3.7785555088140076e-05
1.275,1.1,1.0,3.51203485196944e-05
1.275,1.1,1.1,3.2288231866620644e-05
1.275,1.1,1.2,3.2254709601088514e-05
1.275,1.2,0.8,3.210562065269351e-05
1.275,1.2,0.9,3.266803014699626e-05
1.275,1.2,1.0,3.130030590299323e-05
1.275,1.2,1.1,2.9651472015350052e-05
1.275,1.2,1.2,2.844251456713019e-05
1.3,0.8,0.8,5.944132333555841e-05
1.3,0.8,0.9,5.8133434031027475e-05
1.3,0.8,1.0,5.473322632811112e-05
1.3,0.8,1.1,5.021339080538678e-05
1.3,0.8,1.2,4.775725535803579e-05
1.3,0.9,0.8,5.02295796097835e-05
1.3,0.9,0.9,4.896931658756473e-05
1.3,0.9,1.0,4.545324086560956e-05
1.3,0.9,1.1,4.2763538566537345e-05
1.3,0.9,1.2,3.88976224806911e-05
1.3,1.0,0.8,4.160104683700207e-05
1.3,1.0,0.9,4.082217833803251e-05
1.3,1.0,1.0,3.8069562248991605e-05
1.3,1.0,1.1,3.535070489192294e-05
1.3,1.0,1.2,3.367691027888688e-05
1.3,1.1,0.8,3.5231724272032264e-05
1.3,1.1,0.9,3.5640873725205925e-05
1.3,1.1,1.0,3.43405680558242e-05
1.3,1.1,1.1,3.0914622850469195e-05
1.3,1.1,1.2,2.9638382164281642e-05
1.3,1.2,0.8,3.0287260827496923e-05
1.3,1.2,0.9,3.0801931668443e-05
1.3,1.2,1.0,2.9750798932146874e-05
1.3,1.2,1.1,2.7784343826276932e-05
1.3,1.2,1.2,2.6394183290581397e-05
1.325,0.8,0.8,5.82294459532265e-05
1.325,0.8,0.9,6.217397340121445e-05
1.325,0.8,1.0,5.371409321737255e-05
1.325,0.8,1.1,4.8043850489400335e-05
1.325,0.8,1.2,4.650360141641674e-05
1.325,0.9,0.8,4.957995478745501e-05
1.325,0.9,0.9,4.863574000673617e-05
1.325,0.9,1.0,4.299906270275119e-05
1.325,0.9,1.1,3.969760858530128e-05
1.325,0.9,1.2,3.7692080051957506e-05
1.325,1.0,0.8,4.1358912288265886e-05
1.325,1.0,0.9,4.186271797113148e-05
1.325,1.0,1.0,3.789054129353849e-05
1.325,1.0,1.1,3.38175493813191e-05
1.325,1.0,1.2,3.334546688881175e-05
1.325,1.1,0.8,3.5772318341203146e-05
1.325,1.1,0.9,3.535473295261203e-05
1.325,1.1,1.0,3.180545709099336e-05
1.325,1.1,1.1,2.991246472775035e-05
1.325,1.1,1.2,2.8903114752677864e-05
1.325,1.2,0.8,3.008543445833001e-05
1.325,1.2,0.9,3.0846910024638e-05
1.325,1.2,1.0,2.809188504766028e-05
1.325,1.2,1.1,2.6598380648535192e-05
1.325,1.2,1.2,2.510234976843014e-05
1.35,0.8,0.8,6.211637407798681e-05
1.35,0.8,0.9,6.825265565943488e-05
1.35,0.8,1.0,5.569086447176885e-05
1.35,0.8,1.1,4.639061814507972e-05
1.35,0.8,1.2,4.4152223814043416e-05
1.35,0.9,0.8,4.986018908838693e-05
1.35,0.9,0.9,4.720305228347996e-05
1.35,0.9,1.0,4.36849188103082e-05
1.35,0.9,1.1,3.8639983858311384e-05
1.35,0.9,1.2,3.5814957066680125e-05
1.35,1.0,0.8,3.867765412570111e-05
1.35,1.0,0.9,3.880603187735262e-05
1.35,1.0,1.0,3.5957511205004687e-05
1.35,1.0,1.1,3.431631550707098e-05
1.35,1.0,1.2,3.127289827073461e-05
1.35,1.1,0.8,3.439157632735271e-05
1.35,1.1,0.9,3.290278061404205e-05
1.35,1.1,1.0,3.1664941233914086e-05
1.35,1.1,1.1,2.825195835300388e-05
1.35,1.1,1.2,2.717037822064768e-05
1.35,1.2,0.8,2.9350253546741784e-05
1.35,1.2,0.9,2.992228645865675e-05
1.35,1.2,1.0,2.6355436241385085e-05
1.35,1.2,1.1,2.4717667823217744e-05
1.35,1.2,1.2,2.4570570180711e-05
1.375,0.8,0.8,6.556355262926861e-05
1.375,0.8,0.9,6.924536804963805e-05
1.375,0.8,1.0,5.7467595398871486e-05
1.375,0.8,1.1,4.5641916577828656e-05
1.375,0.8,1.2,4.1564172238479424e-05
1.375,0.9,0.8,4.956670528929468e-05
1.375,0.9,0.9,4.9709175087408156e-05
1.375,0.9,1.0,4.20185437118289e-05
1.375,0.9,1.1,3.857438528100695e-05
1.375,0.9,1.2,3.485005501923114e-05
1.375,1.0,0.8,3.8693655770366086e-05
1.375,1.0,0.9,3.9528674634232123e-05
1.375,1.0,1.0,3.487028464503182e-05
1.375,1.0,1.1,3.1835019970801233e-05
1.375,1.0,1.2,2.9309708424727263e-05
1.375,1.1,0.8,3.444355033221693e-05
1.375,1.1,0.9,3.330967307954152e-05
1.375,1.1,1.0,3.0234509335120388e-05
1.375,1.1,1.1,2.6793000636090162e-05
1.375,1.1,1.2,2.683715053897733e-05
1.375,1.2,0.8,2.8113640748895812e-05
1.375,1.2,0.9,2.9438447468896373e-05
1.375,1.2,1.0,2.640673593566385e-05
1.375,1.2,1.1,2.441903893376287e-05
1.375,1.2,1.2,2.327888764675772e-05
1.4,0.8,0.8,7.403450417336109e-05
1.4,0.8,0.9,0.000190933217029217
1.4,0.8,1.0,5.873878551136805e-05
1.4,0.8,1.1,4.8002115569589196e-05
1.4,0.8,1.2,4.1048753142416485e-05
1.4,0.9,0.8,5.2779008235785315e-05
1.4,0.9,0.9,5.129342962267909e-05
1.4,0.9,1.0,4.494124051227125e-05
1.4,0.9,1.1,3.716506479625928e-05
1.4,0.9,1.2,3.375836798932177e-05
1.4,1.0,0.8,4.029744522627111e-05
1.4,1.0,0.9,3.95114331933998e-05
1.4,1.0,1.0,3.5925352902447003e-05
1.4,1.0,1.1,3.1861764711136996e-05
1.4,1.0,1.2,2.9892186069893628e-05
1.4,1.1,0.8,3.3289767651357065e-05
1.4,1.1,0.9,3.29749480570195e-05
1.4,1.1,1.0,2.9364339955715148e-05
1.4,1.1,1.1,2.683489266648933e-05
1.4,1.1,1.2,2.5376946721656408e-05
1.4,1.2,0.8,2.8769103079610384e-05
1.4,1.2,0.9,2.903493717790586e-05
1.4,1.2,1.0,2.631081885965388e-05
1.4,1.2,1.1,2.3469807374175408e-05
1.4,1.2,1.2,2.253166209391892e-05
1.425,0.8,0.8,0.0002339919774790814
1.425,0.8,0.9,0.03805091185562093
1.425,0.8,1.0,6.0108294080521864e-05
1.425,0.8,1.1,4.575659343924594e-05
1.425,0.8,1.2,4.1005868039247033e-05
1.425,0.9,0.8,5.7561955687513366e-05
1.425,0.9,0.9,6.305921438735059e-05
1.425,0.9,1.0,4.2672010289245856e-05
1.425,0.9,1.1,3.8287416043395394e-05
1.425,0.9,1.2,3.5184126743159066e-05
1.425,1.0,0.8,4.027527483552437e-05
1.425,1.0,0.9,4.113760421326291e-05
1.425,1.0,1.0,3.434701348600675e-05
1.425,1.0,1.1,3.1257338598919806e-05
1.425,1.0,1.2,2.822298585243698e-05
1.425,1.1,0.8,3.457404782392216e-05
1.425,1.1,0.9,3.487004774551615e-05
1.425,1.1,1.0,3.007378423385721e-05
1.425,1.1,1.1,2.5752995134255148e-05
1.425,1.1,1.2,2.433137563248596e-05
